"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ZAF",2020,62247.23386544654051865,40495036.702908115268733
"ZMB",2020,162801.58944267601013274,60708721.051884361929612
"ZNC",2020,12.3702511420486128,2194.86829280203446
"ZWE",2020,6200.71249399640962460,3456851.594247171916031
"AFG",2021,26.48246160191733306,6772.0752140944778442
"AGO",2021,298261.68435422081299144,119823558.576557849502806
"AIA",2021,1.68278169644097235,554.380974433959562
"ALA",2021,1355.481820779997669935,422422.305837106238675
"ALB",2021,1685.677235689262084411,506228.3011663939964001
"AND",2021,2.22471297738064249,1301.95877069567634
"ARG",2021,201896.344452604923370781,63898345.8462068215860934
"ARM",2021,4.96472232192057265,2185.500616137832774
"ATG",2021,39.15892521036023980,14621.138413003672692
"AUS",2021,261044.955942218460296837,97868017.5354489859590252
"AUT",2021,16650.64793145475596897,9316885.1897549461782105
"AZE",2021,85.22633726126298407,36247.277528746949578
"BDI",2021,2272.25175327985331367,1449769.326034755877562
"BEL",2021,9142.949797379093540766,5404048.817465642191282
"BEN",2021,1699.54014162905334169,1606323.838288706044136
"BES",2021,0.22568747203938805,76.42685268721695
"BFA",2021,0.0,43859.007129542769157
"BGD",2021,17587.28243270613033076,10535020.702165643646590
"BGR",2021,6684.012024956952160956,3281640.7573971297193334
"BHS",2021,1548.74388476882593307,455373.539283801939991
"BIH",2021,1018.740783485178066936,567773.052085380570070
"BLR",2021,63478.932386615288891706,26159879.446000922655845
"BLZ",2021,9310.73375697314772723,4499449.119837235507121
"BOL",2021,559588.66506382051209957,196891092.156008976716365
"BRA",2021,2990028.76131567061857109,1868490742.521473925333548
"BRB",2021,17.23879269510959197,7506.246946525421130
"BRN",2021,952.93058214787803007,634880.993075440421039
"BTN",2021,1278.57589323634439045,694377.753077376182553
"BWA",2021,1.42478080287760433,572.159867236835701
"CAF",2021,67180.99665510713281123,36009852.584658811865262
"CAN",2021,2524984.969306084380620090,1022235434.8428894940015758
"CHE",2021,3454.853211812606271745,2100877.7690109538733846
"CHL",2021,71609.984379257671896823,50659161.8070871010025643
"CHN",2021,536772.366491661134870093,277590420.4588070353360685
"CIV",2021,183272.23436631585159708,114081427.588697853370434
"CMR",2021,168797.41740747865520942,106351349.080393221750193
"COD",2021,1248060.48472706412717138,828353837.443374319782839
"COG",2021,58192.92151258513943928,36591674.865721300733571
"COL",2021,265160.66955185574742971,162187001.983124857934765
"COM",2021,164.53768411434628221,86426.065361247236870
"CRI",2021,7850.73668311729621504,4857101.619759094840068
"CUB",2021,9720.83331947196082306,4329397.721230486065379
"CUW",2021,4.06381176150499173,1282.976691341749575
"CYM",2021,10.10522126454427138,5864.164245931602650
"CYP",2021,642.87003442237581789,91879.169737210889526
"CZE",2021,56298.102724837039149733,31955605.999054153487033
"DEU",2021,202277.204429519395499885,122302286.687167153780553
"DMA",2021,30.35926319274468156,19327.63996911117919
"DNK",2021,4795.048927643727981714,1965759.6893142944106295
"DOM",2021,14182.34201178285914641,7152392.351429404816525
"DZA",2021,20471.652534532594845889,3527427.7695765890797290
"ECU",2021,30367.76456221182729855,22562909.141882198718575
"EGY",2021,17.8120813064040789,4381.557614465632482
"ERI",2021,0.0,53.043470135138906
"ESP",2021,85791.957416141341989879,38435665.8172755351429986
"EST",2021,34004.181033504088975718,11644175.782842488469587
"ETH",2021,19751.43827758899015215,11075691.154286339968791
"FIN",2021,266899.154358797059763625,63588010.4236874207014799
"FJI",2021,7198.68557758031397317,4212392.367926379469569
"FRA",2021,112885.768951208205272427,66514860.582682002066718
"GAB",2021,18317.62964507300966233,12246690.148276489355339
"GBR",2021,26216.317962058570845774,12823395.954249230382516
"GEO",2021,420.262445849194873846,196829.091300141736703
"GGY",2021,1.10826138006944444,435.38041330845016
"GHA",2021,101414.08485857476762152,66999217.755689223141955
"GIN",2021,167376.67003997815417083,82115086.669564349701399
"GLP",2021,67.73279766907387836,29787.663891299831956
"GMB",2021,19.03735950195854299,9599.671319256906560
"GNB",2021,13684.85411847591098546,6438012.588998309462595
"GNQ",2021,8905.52715633372796152,6114017.085291775543506
"GRC",2021,49038.519036178950425341,8741793.5912389809207266
"GRD",2021,15.95471225753634844,9113.085637620172835
"GTM",2021,49898.31212181119143911,26782154.389368417660369
"GUF",2021,2205.03299824686544409,1712091.281268303036443
"GUY",2021,9536.76713339113473069,6555708.605546886250232
"HND",2021,69498.32169403489890756,37499705.208399406214993
"HRV",2021,5264.326696804362381189,2799195.081092707124301
"HTI",2021,2413.74453287675812352,1167891.943604689205978
"HUN",2021,13757.123536229150054902,6093601.755187681429427
"IDN",2021,841390.16131598934059948,514506680.790339446562925
"IMN",2021,27.96447584641928091,11394.490799223659782
"IND",2021,125753.22883265900421639,72534775.949936260523326
"IRL",2021,8779.289064123878867491,4654123.0145951576907445
"IRN",2021,20.998456522460944255,9684.138828225431962
"ISR",2021,28.61547411162543756,9215.847666753197306
"ITA",2021,28263.216555394215561868,10221952.2905952470273517
"JAM",2021,1485.24723965635425351,800911.290535324736828
"JEY",2021,3.24072188023437515,1306.585635272468972
"JPN",2021,48455.130205260751663369,24341974.509171693885557
"KAZ",2021,718.409062407000997985,255225.8172071616925447
"KEN",2021,7564.30353703219268192,3758592.099059524670024
"KGZ",2021,17.535345973652351270,2650.7911026414703321
"KHM",2021,144262.64338879267038895,86233906.363691695201503
"KNA",2021,9.41626906362521699,4726.860605926826975
"KOR",2021,17342.127881665776613915,6056834.432906288428244
"LAO",2021,317562.59400856886037261,167574983.838802952537589
"LBN",2021,672.61767208680922063,154280.2569881584622154
"LBR",2021,129838.01097076565523027,80606320.911839650491662
"LBY",2021,0.5196089612489150,126.83275201543763
"LCA",2021,34.60395206810437517,20427.06665076557690
"LIE",2021,0.632270560839843774,359.218621601142454
"LKA",2021,13296.08742554541768222,5358619.623222034305186
"LSO",2021,16.91761747763888955,6702.660098000707668
"LTU",2021,22633.628914351055436720,8935933.346883420698040
"LUX",2021,1054.629058322799234981,686832.784222360385799
"LVA",2021,48422.148732552794833367,18356211.004669296128909
"MAF",2021,2.1235823210525175,918.34642222158826
"MAR",2021,1538.46211751804475646,626315.043366479226734
"MDA",2021,1130.887987131410808948,412840.738532899719299
"MDG",2021,234879.82064764929376870,121091730.032298360427209
"MEX",2021,189046.40207507318341119,85418725.2595560455834384
"MKD",2021,2304.283069036994089665,825312.1696322126850393
"MLI",2021,130.30924230515132176,166941.005699377658759
"MMR",2021,304151.45531416772424949,174593722.042741089152586
"MNE",2021,507.759413625527361514,268175.913750228746227
"MNG",2021,186.689692578834549670,41914.774045248494057
"MOZ",2021,278084.37292224072039974,107718211.789209798631735
"MRT",2021,0.0,2006.294234228617803
"MSR",2021,2.50734279155164936,1337.524559713494345
"MTQ",2021,43.55235253291613756,21616.887226992098751
"MWI",2021,16582.62200617771256255,7023754.062337750870079
"MYS",2021,277597.31450350848232649,134722963.068219096451435
"MYT",2021,63.72506181654562014,33068.573940594333068
"NAM",2021,5.03323263665907119,3368.440229267204307
"NCL",2021,656.28992337712054576,258562.767675373822086
"NER",2021,0.0,69.545314882399015
"NGA",2021,97193.20236319167944429,65091478.516156308721599
"NIC",2021,91835.34072655827015020,51700076.203173846054152
"NLD",2021,2456.722221562805672601,1270255.3628968740938615
"NOR",2021,63937.474521455621411760,18896798.6947679629627217
"NPL",2021,2752.51013305627064636,1590215.574298532627089
"NZL",2021,66243.067947619121212388,53035809.265336962823702
"PAK",2021,57.2933673451226271,20097.756131810378550
"PAN",2021,24431.46188523030620107,14558128.906547467809354
"PER",2021,225105.75051461585364400,145564258.581214666665475
"PHL",2021,48882.82469788232392772,30304519.420888467033872
"PLW",2021,3.28079689110975483,2622.471376002397561
"PNG",2021,76611.95401154620347676,58533194.277449614723155
"POL",2021,77567.841885871815475202,34978716.6476022449637655
"PRI",2021,690.97244845043943568,378006.816244101662301
